observation_date;WALCL
18/12/2002;719542
25/12/2002;732059
01/01/2003;730994
08/01/2003;723762
15/01/2003;720074
22/01/2003;735953
29/01/2003;712809
05/02/2003;719643
12/02/2003;713281
19/02/2003;730400
26/02/2003;721980
05/03/2003;722649
12/03/2003;717014
19/03/2003;729923
26/03/2003;725019
02/04/2003;732452
09/04/2003;727826
16/04/2003;745838
23/04/2003;732222
30/04/2003;746294
07/05/2003;733466
14/05/2003;740371
21/05/2003;734699
28/05/2003;744896
04/06/2003;731667
11/06/2003;743236
18/06/2003;735926
25/06/2003;744018
02/07/2003;740126
09/07/2003;744430
16/07/2003;737765
23/07/2003;745665
30/07/2003;740295
06/08/2003;734018
13/08/2003;735386
20/08/2003;750825
27/08/2003;740637
03/09/2003;750461
10/09/2003;737234
17/09/2003;743939
24/09/2003;741193
01/10/2003;753155
08/10/2003;737108
15/10/2003;754229
22/10/2003;743578
29/10/2003;747272
05/11/2003;744116
12/11/2003;745604
19/11/2003;744521
26/11/2003;756964
03/12/2003;749981
10/12/2003;756585
17/12/2003;753919
24/12/2003;767012
31/12/2003;771551
07/01/2004;755829
14/01/2004;752812
21/01/2004;775833
28/01/2004;755279
04/02/2004;754153
11/02/2004;750999
18/02/2004;758759
25/02/2004;750666
03/03/2004;754867
10/03/2004;749950
17/03/2004;760638
24/03/2004;751510
31/03/2004;760725
07/04/2004;754083
14/04/2004;763734
21/04/2004;757984
28/04/2004;772927
05/05/2004;758838
12/05/2004;764835
19/05/2004;756874
26/05/2004;771108
02/06/2004;764090
09/06/2004;772187
16/06/2004;761834
23/06/2004;775261
30/06/2004;779578
07/07/2004;778163
14/07/2004;775536
21/07/2004;776764
28/07/2004;773916
04/08/2004;772085
11/08/2004;769265
18/08/2004;767595
25/08/2004;775437
01/09/2004;785273
08/09/2004;788602
15/09/2004;789128
22/09/2004;782124
29/09/2004;786330
06/10/2004;781777
13/10/2004;795483
20/10/2004;784954
27/10/2004;791336
03/11/2004;790552
10/11/2004;800473
17/11/2004;794090
24/11/2004;809956
01/12/2004;807063
08/12/2004;808495
15/12/2004;807028
22/12/2004;811333
29/12/2004;810944
05/01/2005;815702
12/01/2005;798455
19/01/2005;806960
26/01/2005;807262
02/02/2005;804746
09/02/2005;797299
16/02/2005;795606
23/02/2005;804576
02/03/2005;801252
09/03/2005;799250
16/03/2005;807211
23/03/2005;797094
30/03/2005;807551
06/04/2005;797327
13/04/2005;805707
20/04/2005;801793
27/04/2005;809797
04/05/2005;802412
11/05/2005;808378
18/05/2005;801546
25/05/2005;810160
01/06/2005;817335
08/06/2005;814172
15/06/2005;811198
22/06/2005;810429
29/06/2005;810082
06/07/2005;821556
13/07/2005;808861
20/07/2005;816804
27/07/2005;814259
03/08/2005;818841
10/08/2005;808544
17/08/2005;813774
24/08/2005;811313
31/08/2005;823237
07/09/2005;822500
14/09/2005;823590
21/09/2005;812926
28/09/2005;823771
05/10/2005;817137
12/10/2005;826306
19/10/2005;814281
26/10/2005;819105
02/11/2005;814571
09/11/2005;824991
16/11/2005;823263
23/11/2005;833124
30/11/2005;835059
07/12/2005;833250
14/12/2005;830950
21/12/2005;848317
28/12/2005;847700
04/01/2006;851856
11/01/2006;829357
18/01/2006;836042
25/01/2006;828901
01/02/2006;831808
08/02/2006;827613
15/02/2006;835240
22/02/2006;840555
01/03/2006;839356
08/03/2006;839234
15/03/2006;843010
22/03/2006;838003
29/03/2006;833675
05/04/2006;834589
12/04/2006;836862
19/04/2006;836352
26/04/2006;844572
03/05/2006;843867
10/05/2006;838405
17/05/2006;838153
24/05/2006;840251
31/05/2006;851580
07/06/2006;849074
14/06/2006;845869
21/06/2006;844773
28/06/2006;844436
05/07/2006;851659
12/07/2006;844391
19/07/2006;849894
26/07/2006;841552
02/08/2006;850263
09/08/2006;840006
16/08/2006;842876
23/08/2006;837987
30/08/2006;850925
06/09/2006;848594
13/09/2006;840886
20/09/2006;838192
27/09/2006;849971
04/10/2006;842296
11/10/2006;859339
18/10/2006;844200
25/10/2006;852648
01/11/2006;855536
08/11/2006;858630
15/11/2006;855551
22/11/2006;865126
29/11/2006;856671
06/12/2006;862178
13/12/2006;853851
20/12/2006;865010
27/12/2006;869988
03/01/2007;874626
10/01/2007;854819
17/01/2007;859363
24/01/2007;851755
31/01/2007;865730
07/02/2007;855057
14/02/2007;867199
21/02/2007;869235
28/02/2007;877409
07/03/2007;864505
14/03/2007;876108
21/03/2007;863067
28/03/2007;869803
04/04/2007;862319
11/04/2007;865441
18/04/2007;861335
25/04/2007;879686
02/05/2007;890857
09/05/2007;875270
16/05/2007;859559
23/05/2007;873935
30/05/2007;876986
06/06/2007;872706
13/06/2007;864989
20/06/2007;866089
27/06/2007;865105
04/07/2007;876611
11/07/2007;869407
18/07/2007;872916
25/07/2007;863890
01/08/2007;870261
08/08/2007;865453
15/08/2007;864931
22/08/2007;862775
29/08/2007;872873
05/09/2007;871156
12/09/2007;886314
19/09/2007;867732
26/09/2007;889900
03/10/2007;869051
10/10/2007;886363
17/10/2007;869509
24/10/2007;881395
31/10/2007;883385
07/11/2007;885724
14/11/2007;889537
21/11/2007;891028
28/11/2007;879417
05/12/2007;882764
12/12/2007;881750
19/12/2007;887983
26/12/2007;890662
02/01/2008;922187
09/01/2008;880754
16/01/2008;893581
23/01/2008;877253
30/01/2008;900264
06/02/2008;871022
13/02/2008;883005
20/02/2008;878949
27/02/2008;893825
05/03/2008;881208
12/03/2008;896565
19/03/2008;888646
26/03/2008;893965
02/04/2008;883708
09/04/2008;893029
16/04/2008;881904
23/04/2008;885781
30/04/2008;888131
07/05/2008;889228
14/05/2008;880175
21/05/2008;898487
28/05/2008;904054
04/06/2008;895939
11/06/2008;890610
18/06/2008;902304
25/06/2008;892713
02/07/2008;902962
09/07/2008;898034
16/07/2008;910681
23/07/2008;899665
30/07/2008;918625
06/08/2008;901710
13/08/2008;914632
20/08/2008;898611
27/08/2008;909982
03/09/2008;905253
10/09/2008;925725
17/09/2008;995093
24/09/2008;1211825
01/10/2008;1503989
08/10/2008;1591587
15/10/2008;1770809
22/10/2008;1802602
29/10/2008;1969086
05/11/2008;2074205
12/11/2008;2212852
19/11/2008;2187137
26/11/2008;2106117
03/12/2008;2136924
10/12/2008;2250012
17/12/2008;2254983
24/12/2008;2232311
31/12/2008;2239457
07/01/2009;2121439
14/01/2009;2049714
21/01/2009;2037112
28/01/2009;1927082
04/02/2009;1851437
11/02/2009;1843400
18/02/2009;1915562
25/02/2009;1916115
04/03/2009;1901317
11/03/2009;1899514
18/03/2009;2066942
25/03/2009;2071556
01/04/2009;2078936
08/04/2009;2088573
15/04/2009;2186498
22/04/2009;2196812
29/04/2009;2066712
06/05/2009;2079758
13/05/2009;2196351
20/05/2009;2181632
27/05/2009;2080115
03/06/2009;2077695
10/06/2009;2052297
17/06/2009;2072527
24/06/2009;2025571
01/07/2009;2005627
08/07/2009;1992740
15/07/2009;2072451
22/07/2009;2039001
29/07/2009;2000547
05/08/2009;1989203
12/08/2009;2014899
19/08/2009;2060641
26/08/2009;2074902
02/09/2009;2083720
09/09/2009;2087946
16/09/2009;2139783
23/09/2009;2158631
30/09/2009;2141020
07/10/2009;2138086
14/10/2009;2192787
21/10/2009;2201119
28/10/2009;2161537
04/11/2009;2165067
11/11/2009;2135035
18/11/2009;2208721
25/11/2009;2206359
02/12/2009;2204074
09/12/2009;2186383
16/12/2009;2235763
23/12/2009;2235803
30/12/2009;2234067
06/01/2010;2235304
13/01/2010;2291700
20/01/2010;2251806
27/01/2010;2246886
03/02/2010;2249319
10/02/2010;2256679
17/02/2010;2277574
24/02/2010;2286127
03/03/2010;2280147
10/03/2010;2282474
17/03/2010;2307997
24/03/2010;2313149
31/03/2010;2307150
07/04/2010;2307575
14/04/2010;2339345
21/04/2010;2337556
28/04/2010;2330472
05/05/2010;2326164
12/05/2010;2336103
19/05/2010;2350890
26/05/2010;2334041
02/06/2010;2336216
09/06/2010;2331529
16/06/2010;2344316
23/06/2010;2344497
30/06/2010;2330851
07/07/2010;2332017
14/07/2010;2340717
21/07/2010;2332322
28/07/2010;2325298
04/08/2010;2326479
11/08/2010;2327533
18/08/2010;2313662
25/08/2010;2301015
01/09/2010;2301996
08/09/2010;2305802
15/09/2010;2296079
22/09/2010;2307171
29/09/2010;2298691
06/10/2010;2308092
13/10/2010;2309885
20/10/2010;2305227
27/10/2010;2295392
03/11/2010;2300353
10/11/2010;2312768
17/11/2010;2314757
24/11/2010;2346001
01/12/2010;2346920
08/12/2010;2382294
15/12/2010;2385754
22/12/2010;2427921
29/12/2010;2420570
05/01/2011;2436064
12/01/2011;2468131
19/01/2011;2425164
26/01/2011;2443527
02/02/2011;2469419
09/02/2011;2500481
16/02/2011;2508868
23/02/2011;2533221
02/03/2011;2545119
09/03/2011;2577076
16/03/2011;2583046
23/03/2011;2601341
30/03/2011;2622523
06/04/2011;2648676
13/04/2011;2665408
20/04/2011;2685782
27/04/2011;2690985
04/05/2011;2718757
11/05/2011;2744498
18/05/2011;2758009
25/05/2011;2774996
01/06/2011;2788723
08/06/2011;2811206
15/06/2011;2827549
22/06/2011;2856403
29/06/2011;2865251
06/07/2011;2870103
13/07/2011;2878074
20/07/2011;2871301
27/07/2011;2863576
03/08/2011;2867215
10/08/2011;2872423
17/08/2011;2857906
24/08/2011;2859433
31/08/2011;2853888
07/09/2011;2858660
14/09/2011;2863540
21/09/2011;2857747
28/09/2011;2850921
05/10/2011;2859701
12/10/2011;2860822
19/10/2011;2852390
26/10/2011;2845685
02/11/2011;2822034
09/11/2011;2839786
16/11/2011;2831576
23/11/2011;2821980
30/11/2011;2814235
07/12/2011;2820691
14/12/2011;2902488
21/12/2011;2916085
28/12/2011;2926095
04/01/2012;2917689
11/01/2012;2899149
18/01/2012;2919423
25/01/2012;2919545
01/02/2012;2924947
08/02/2012;2928275
15/02/2012;2937893
22/02/2012;2932813
29/02/2012;2925722
07/03/2012;2884747
14/03/2012;2893560
21/03/2012;2892646
28/03/2012;2878137
04/04/2012;2865478
11/04/2012;2867200
18/04/2012;2875470
25/04/2012;2866561
02/05/2012;2864280
09/05/2012;2864150
16/05/2012;2850984
23/05/2012;2859495
30/05/2012;2842654
06/06/2012;2852018
13/06/2012;2869071
20/06/2012;2870846
27/06/2012;2863547
04/07/2012;2865858
11/07/2012;2866279
18/07/2012;2855807
25/07/2012;2846757
01/08/2012;2851118
08/08/2012;2856181
15/08/2012;2833317
22/08/2012;2825661
29/08/2012;2812806
05/09/2012;2822169
12/09/2012;2823448
19/09/2012;2821574
26/09/2012;2804457
03/10/2012;2808512
10/10/2012;2811623
17/10/2012;2846920
24/10/2012;2840964
31/10/2012;2823137
07/11/2012;2830791
14/11/2012;2877244
21/11/2012;2871161
28/11/2012;2851362
05/12/2012;2859807
12/12/2012;2917260
19/12/2012;2920231
26/12/2012;2907300
02/01/2013;2917189
09/01/2013;2928728
16/01/2013;2963812
23/01/2013;3011697
30/01/2013;3008704
06/02/2013;3014975
13/02/2013;3074225
20/02/2013;3095150
27/02/2013;3090600
06/03/2013;3108805
13/03/2013;3165396
20/03/2013;3206888
27/03/2013;3202256
03/04/2013;3215432
10/04/2013;3227762
17/04/2013;3295109
24/04/2013;3318649
01/05/2013;3317194
08/05/2013;3324615
15/05/2013;3354269
22/05/2013;3398713
29/05/2013;3385128
05/06/2013;3400183
12/06/2013;3410842
19/06/2013;3470530
26/06/2013;3478672
03/07/2013;3492742
10/07/2013;3504095
17/07/2013;3537861
24/07/2013;3574574
31/07/2013;3571797
07/08/2013;3585359
14/08/2013;3646323
21/08/2013;3645668
28/08/2013;3644456
04/09/2013;3654182
11/09/2013;3662035
18/09/2013;3722192
25/09/2013;3734018
02/10/2013;3747387
09/10/2013;3758663
16/10/2013;3813599
23/10/2013;3839033
30/10/2013;3843396
06/11/2013;3851623
13/11/2013;3907424
20/11/2013;3906620
27/11/2013;3925876
04/12/2013;3932626
11/12/2013;3993955
18/12/2013;4008062
25/12/2013;4032575
01/01/2014;4023640
08/01/2014;4028185
15/01/2014;4071528
22/01/2014;4097914
29/01/2014;4102138
05/02/2014;4109285
12/02/2014;4119474
19/02/2014;4149224
26/02/2014;4159972
05/03/2014;4171762
12/03/2014;4181361
19/03/2014;4222081
26/03/2014;4226971
02/04/2014;4236441
09/04/2014;4244188
16/04/2014;4283967
23/04/2014;4296339
30/04/2014;4296049
07/05/2014;4303143
14/05/2014;4336649
21/05/2014;4327560
28/05/2014;4322654
04/06/2014;4330917
11/06/2014;4340904
18/06/2014;4368168
25/06/2014;4368348
02/07/2014;4377031
09/07/2014;4383401
16/07/2014;4398201
23/07/2014;4410746
30/07/2014;4406637
06/08/2014;4410111
13/08/2014;4431923
20/08/2014;4412924
27/08/2014;4413736
03/09/2014;4415587
10/09/2014;4421408
17/09/2014;4449588
24/09/2014;4459050
01/10/2014;4450260
08/10/2014;4455403
15/10/2014;4474360
22/10/2014;4481616
29/10/2014;4486754
05/11/2014;4486585
12/11/2014;4488895
19/11/2014;4492759
26/11/2014;4485931
03/12/2014;4486190
10/12/2014;4488865
17/12/2014;4502247
24/12/2014;4509462
31/12/2014;4497660
07/01/2015;4499524
14/01/2015;4516077
21/01/2015;4512936
28/01/2015;4500064
04/02/2015;4500348
11/02/2015;4501685
18/02/2015;4496851
25/02/2015;4486725
04/03/2015;4487583
11/03/2015;4489279
18/03/2015;4495888
25/03/2015;4480603
01/04/2015;4481799
08/04/2015;4483419
15/04/2015;4485366
22/04/2015;4489695
29/04/2015;4471499
06/05/2015;4472703
13/05/2015;4501188
20/05/2015;4480384
27/05/2015;4463981
03/06/2015;4465360
10/06/2015;4468005
17/06/2015;4487817
24/06/2015;4495055
01/07/2015;4479130
08/07/2015;4481289
15/07/2015;4493605
22/07/2015;4500503
29/07/2015;4485480
05/08/2015;4486329
12/08/2015;4489250
19/08/2015;4487208
26/08/2015;4475105
02/09/2015;4475886
09/09/2015;4478213
16/09/2015;4487809
23/09/2015;4497484
30/09/2015;4484111
07/10/2015;4486185
14/10/2015;4504704
21/10/2015;4501372
28/10/2015;4489339
04/11/2015;4489702
11/11/2015;4492012
18/11/2015;4486721
25/11/2015;4477088
02/12/2015;4478069
09/12/2015;4480436
16/12/2015;4489593
23/12/2015;4496523
30/12/2015;4486587
06/01/2016;4486606
13/01/2016;4501695
20/01/2016;4488840
27/01/2016;4482349
03/02/2016;4483495
10/02/2016;4486278
17/02/2016;4483629
24/02/2016;4489796
02/03/2016;4478485
09/03/2016;4481083
16/03/2016;4486333
23/03/2016;4492857
30/03/2016;4482840
06/04/2016;4484069
13/04/2016;4499729
20/04/2016;4490131
27/04/2016;4474665
04/05/2016;4477270
11/05/2016;4478411
18/05/2016;4473741
